epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6968,1.08009,1.78334,1.50857,0.73985,0.54972,0.67968,0.47277,1.08734,1.83895,1.61222,0.000654545,0.000654545,0.000654545
2,28.0578,1.14389,1.46855,1.52775,0.45747,0.48066,0.46406,0.21085,1.70553,2.23745,2.38263,0.00129505,0.00129505,0.00129505
3,39.0828,1.22414,1.42453,1.57514,0.07234,0.21823,0.05715,0.01824,2.08795,2.77754,2.96984,0.00190916,0.00190916,0.00190916
4,50.0567,1.24116,1.40448,1.59463,0.61835,0.60773,0.62523,0.36678,1.397,1.45591,1.9176,0.0018812,0.0018812,0.0018812
5,60.9565,1.17709,1.31753,1.55353,0.6546,0.64088,0.65396,0.37383,1.28695,2.33872,1.86478,0.0018416,0.0018416,0.0018416
6,71.9711,1.16105,1.24419,1.52322,0.73989,0.74586,0.80682,0.55445,1.17642,1.10391,1.66029,0.001802,0.001802,0.001802
7,82.969,1.08791,1.13874,1.47451,0.82417,0.75967,0.83443,0.55998,1.21969,1.14208,1.71438,0.0017624,0.0017624,0.0017624
8,94.1552,1.08849,1.13415,1.47578,0.85157,0.74491,0.84824,0.56654,1.1526,1.1003,1.70355,0.0017228,0.0017228,0.0017228
9,105.509,1.10041,1.10659,1.46432,0.83897,0.73757,0.86059,0.62875,1.00511,0.92173,1.53377,0.0016832,0.0016832,0.0016832
10,116.781,1.0474,1.07562,1.44354,0.83185,0.77072,0.84915,0.62615,1.02301,0.9177,1.51929,0.0016436,0.0016436,0.0016436
11,128.127,0.9988,0.99779,1.40113,0.75347,0.79006,0.83589,0.52218,1.12834,1.52104,1.66547,0.001604,0.001604,0.001604
12,139.497,1.02341,1.01956,1.43042,0.79763,0.78394,0.86468,0.62589,1.04877,0.8811,1.53429,0.0015644,0.0015644,0.0015644
13,150.648,1.00251,0.96692,1.40385,0.87415,0.79282,0.89536,0.66309,0.9744,0.78093,1.46716,0.0015248,0.0015248,0.0015248
14,161.751,0.97396,0.94403,1.37891,0.87998,0.74943,0.87996,0.68189,0.90192,0.78172,1.38863,0.0014852,0.0014852,0.0014852
15,173.165,0.93675,0.90667,1.35329,0.86128,0.83149,0.8871,0.68004,0.91253,0.75433,1.40222,0.0014456,0.0014456,0.0014456
16,184.208,0.94232,0.9014,1.36445,0.81166,0.85083,0.90786,0.71225,0.84049,0.70559,1.32535,0.001406,0.001406,0.001406
17,195.367,0.90046,0.85557,1.34182,0.92139,0.7771,0.90321,0.68381,0.91332,0.78265,1.43188,0.0013664,0.0013664,0.0013664
18,206.855,0.91854,0.8681,1.34163,0.88169,0.80387,0.91115,0.72679,0.82612,0.65366,1.32866,0.0013268,0.0013268,0.0013268
19,218.059,0.91729,0.85943,1.33322,0.84649,0.84254,0.90922,0.72882,0.79896,0.68305,1.28854,0.0012872,0.0012872,0.0012872
20,229.391,0.88499,0.82459,1.32629,0.85969,0.8124,0.89723,0.69265,0.90229,0.65421,1.39911,0.0012476,0.0012476,0.0012476
21,240.817,0.89143,0.81419,1.31378,0.89064,0.83149,0.92626,0.72492,0.82478,0.62698,1.30495,0.001208,0.001208,0.001208
22,251.955,0.86797,0.78998,1.30919,0.90876,0.82543,0.91203,0.7322,0.79944,0.6116,1.31702,0.0011684,0.0011684,0.0011684
23,263.269,0.88611,0.78748,1.3133,0.9221,0.80939,0.92676,0.76154,0.75311,0.57736,1.25292,0.0011288,0.0011288,0.0011288
24,274.34,0.88654,0.81636,1.31345,0.8741,0.78636,0.89123,0.69482,0.87204,0.70697,1.37947,0.0010892,0.0010892,0.0010892
25,285.45,0.83588,0.7925,1.29223,0.91265,0.83699,0.91862,0.74906,0.77906,0.55901,1.29857,0.0010496,0.0010496,0.0010496
26,296.891,0.83914,0.76546,1.29708,0.8915,0.83978,0.93307,0.75548,0.77776,0.59595,1.27902,0.00101,0.00101,0.00101
27,307.974,0.8271,0.73393,1.27866,0.88306,0.86188,0.93297,0.75155,0.78002,0.56002,1.27333,0.0009704,0.0009704,0.0009704
28,319.228,0.85086,0.74604,1.27365,0.88332,0.85743,0.93405,0.76271,0.759,0.57365,1.24679,0.0009308,0.0009308,0.0009308
29,330.538,0.81995,0.72528,1.26319,0.88539,0.82044,0.92229,0.75553,0.7603,0.59906,1.26542,0.0008912,0.0008912,0.0008912
30,341.643,0.81467,0.72755,1.25897,0.90399,0.82597,0.9232,0.74439,0.78687,0.5644,1.2711,0.0008516,0.0008516,0.0008516
31,352.806,0.79354,0.7261,1.24926,0.89958,0.85083,0.9346,0.77532,0.73127,0.57439,1.24767,0.000812,0.000812,0.000812
32,364.179,0.80162,0.71611,1.26139,0.9123,0.82873,0.93377,0.77588,0.73955,0.5629,1.25963,0.0007724,0.0007724,0.0007724
33,375.247,0.77831,0.69632,1.24524,0.93814,0.79558,0.93307,0.76365,0.7493,0.54093,1.24921,0.0007328,0.0007328,0.0007328
34,386.472,0.78103,0.70768,1.25552,0.90808,0.86188,0.9397,0.77262,0.73495,0.53295,1.22464,0.0006932,0.0006932,0.0006932
35,397.846,0.7708,0.67189,1.23833,0.87597,0.87795,0.93072,0.77302,0.72729,0.52401,1.22439,0.0006536,0.0006536,0.0006536
36,408.833,0.74589,0.6526,1.21068,0.87593,0.87845,0.91949,0.76827,0.71711,0.51102,1.21859,0.000614,0.000614,0.000614
37,420.084,0.73264,0.64694,1.20494,0.87631,0.88398,0.93534,0.77399,0.72525,0.51952,1.22325,0.0005744,0.0005744,0.0005744
38,431.533,0.74136,0.63129,1.20718,0.89096,0.83511,0.93096,0.78253,0.70208,0.53649,1.22278,0.0005348,0.0005348,0.0005348
39,442.715,0.69718,0.6156,1.1863,0.90724,0.84254,0.93485,0.78296,0.70128,0.50386,1.1976,0.0004952,0.0004952,0.0004952
40,453.95,0.7546,0.63586,1.20824,0.89081,0.85636,0.93229,0.7867,0.70241,0.50153,1.19503,0.0004556,0.0004556,0.0004556
